Authors;Title;Publication;Volume;Number;Pages;Year;Publisher;Tip;Domeniu cercetare
"Lemnaru Camelia; Sergiu Nedevschi";Strategies for Dealing with Real-World Classification Problems;;;;;2012;;A-Teza doctorat;INTELIGENŢĂ ARTIFICIALĂ
"Parau, Paul; Stef, Alexandru; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; ";Using community detection for sentiment analysis;2013 IEEE 9th International Conference on Intelligent Computer Communication and Processing (ICCP);;;51-54;2013;IEEE;C3-BDI;INGINERIA CUNOSTINTELOR
"Lemnaru, Camelia; Bona, Adrian; Potolea, Rodica; ";Distributed Methodologies for Imbalanced Classification Problems: Parameter Analysis and Tuning;2013 IEEE 12th International Symposium on Parallel and Distributed Computing;;;53-58;2013;IEEE;C3-BDI;INGINERIA CUNOSTINTELOR
"Anisiei, Ancuta-Lenuta; Dinsoreanu, Mihaela; Lemnaru, Camelia; Potolea, Rodica; ";Extracting opinion holders and targets in Romanian texts;2014 IEEE 10th International Conference on Intelligent Computer Communication and Processing (ICCP);;;37-42;2014;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Barbantan, Ioana; Lemnaru, Camelia; Potolea, Rodica; ";Disease Identification in Electronic Health Records - An Ontology based Approach;KDIR;;;261-268;2014;INSTICC;C3-BDI;INGINERIA CUNOSTINTELOR
"Balc, Diana; Beleiu, Anamaria; Potolea, Rodica; Lemnaru, Camelia; ";A learning-based approach for Romanian syllabification and stress assignment;2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP);;;37-42;2015;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Muresan, Sebastian; Faloba, Ioana; Lemnaru, Camelia; Potolea, Rodica; ";Pre-processing flow for enhancing learning from medical data;2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP);;;27-34;2015;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Chira, Camelia; Lemnaru, Camelia; ";A multi-objective evolutionary approach to imbalanced classification problems;2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP);;;149-154;2015;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Szenasi, Gyorgy; Lemnaru, Camelia; Barbantan, Ioana; ";Concept extraction from medical documents a contextual approach;2015 IEEE International Conference on Intelligent Computer Communication and Processing (ICCP);;;13-17;2015;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Porumb, Mihaela; Barbantan, Ioana; Lemnaru, Camelia; Potolea, Rodica; ";REMed: automatic relation extraction from medical documents;Proceedings of the 17th International Conference on Information Integration and Web-based Applications & Services;;;01.Oct;2015;;C3-BDI;INGINERIA CUNOSTINTELOR
"Barbantan, Ioana; Porumb, Mihaela; Lemnaru, Camelia; Potolea, Rodica; ";Feature Engineered Relation Extraction–Medical Documents Setting;International Journal of Web Information Systems;;;;2016;Emerald Group Publishing Limited;;INGINERIA CUNOSTINTELOR
"Parau, Paul; Lemnaru, Camelia; Potolea, Rodica; ";Assessing vertex relevance based on community detection;2015 7th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management (IC3K);1;;46-56;2015;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Prisca, Stefan; Dinsoreanu, Mihaela; Lemnaru, Camelia; ";Topic oriented auto-completion models: Approaches towards fastening auto-completion systems;2015 7th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management (IC3K);1;;241-248;2015;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Borsos, Zalán; Lemnaru, Camelia; Potolea, Rodica; ";Dealing with overlap and imbalance: a new metric and approach;Pattern Analysis and Applications;21;;381-395;2018;Springer London;C1-Revista ISI;INTELIGENŢĂ ARTIFICIALĂ
"Indre, Ionut; Lemnaru, Camelia; ";Detection and prevention system against cyber attacks and botnet malware for information systems and Internet of Things;2016 IEEE 12th International Conference on Intelligent Computer Communication and Processing (ICCP);;;175-182;2016;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Chirila, Stefana; Lemnaru, Camelia; Dinsoreanu, Mihaela; ";Semantic-based IoT device discovery and recommendation mechanism;2016 IEEE 12th international conference on intelligent computer communication and processing (ICCP);;;111-116;2016;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Lemnaru, Camelia; Potolea, Rodica; ";Evolutionary cost-sensitive balancing: A generic method for imbalanced classification problems;EVOLVE-A Bridge between Probability, Set Oriented Numerics, and Evolutionary Computation VI;;;194-209;2017;Springer International Publishing Cham;;INTELIGENŢĂ ARTIFICIALĂ
"Parau, P; Lemnaru, C; Dinsoreanu, M; Potolea, R; ";Opinion leader detection;Sentiment analysis in social networks;;;157-170;2017;Morgan Kaufmann;B2-Capitol de carte;INGINERIA CUNOSTINTELOR
"Bona, Adrian; Lemnaru, Camelia; Potolea, Rodica; ";Syllabification with Frequent Sequence Patterns;Proceedings of the International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;;;352-359;2016;;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Cimpian, Silviana; Lazar, Andreea; Macicasan, Florin; Lemnaru, Camelia; ";A transition-based approach for amr parsing using lstm networks;2017 13th IEEE International Conference on Intelligent Computer Communication and Processing (ICCP);;;103-110;2017;IEEE;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
"Graur, Dan-Ovidiu; Mariş, Răzvan-Alexandru; Potolea, Rodica; Dînşoreanu, Mihaela; Lemnaru, Camelia; ";Complex localization in the multiple instance learning context;New Frontiers in Mining Complex Patterns: 6th International Workshop, NFMCP 2017, Held in Conjunction with ECML-PKDD 2017, Skopje, Macedonia, September 18-22, 2017, Revised Selected Papers 6;;;93-106;2018;Springer International Publishing;C2-ISI Proceedings;INGINERIA CUNOSTINTELOR
